"site_code","Site","Date","Turbidity","TSS","ChlA","TC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","location_type","watershed","burn_status","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"PNF","Poudre Above North Fork",2015-03-18,,,,,,2.59,0.22,7.88,775.4,88.6,4.51,0.03,0.97,2.55,9.62,0.15,2.84,0.3,0,4.88,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,24,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-04-20,,,,,,4.63,0.23,7.75,504.9,57.8,2.45,0.03,0.89,1.33,6.88,0.06,1.34,0.05,0,2.36,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,27,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-04-20,,,,,,6.26,0.3,7.53,324.13,37.8,2.12,0.03,0.68,1,4.3,0.06,0.46,0.15,0,1.75,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,28,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-04-20,,,,,,4.41,0.22,7.72,504.97,58.5,3.18,0.02,0.81,1.66,6.29,0.09,1.33,0.16,0,3.4,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,30,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-04-20,,,,,,4.89,0.19,7.69,487.17,55.7,2.92,0.02,0.87,1.57,6.1,0.07,1.25,0,0,2.7,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,31,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-04-20,,,,,,4.98,0.46,7.78,629.15,87,4.73,0.04,0.98,2.37,9.53,0.15,3.66,1.22,0,5.19,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,35,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-06-08,,,,,,6.35,0.32,7.35,248.58,32,1.71,0.02,0.66,0.9,3.74,0.06,0.46,0.48,0,1.97,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,37,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-06-08,,,,,,7.08,0.39,7.14,162.72,25.6,1.24,0.01,0.57,0.67,3.02,0.08,0.28,0.9,0,2,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,38,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-06-08,,,,,,6.39,0.32,7.35,258.97,33.8,1.85,0.02,0.65,0.93,3.85,0.08,0.5,0.5,0,2.16,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,39,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-06-08,,,,,,6.45,0.34,7.46,344.59,42.7,2.24,0.03,0.73,1.18,4.91,0.1,0.94,0.53,0,2.64,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,40,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-06-08,,,,,,4.74,0.33,7.55,385.34,41.5,1.77,0.02,0.82,1.07,5.23,0.04,0.5,0.49,0,1.82,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,44,,,2015,,,"RHOADES"
"BMD","Barnes Meadow Outflow",2015-06-08,,,,,,11.47,0.33,7.43,331.17,40.2,2.2,0.03,0.82,0.85,5.5,0.03,0.55,0.13,0,1.63,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,46,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-06-22,,,,,,4.97,0.37,7.43,255.1,32.7,1.71,0.02,0.58,0.87,3.56,0.09,0.43,0.72,0,1.85,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,48,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-06-22,,,,,,4.88,0.4,7.38,241.21,31.9,1.61,0.02,0.63,0.83,3.57,0.08,0.4,0.96,0,1.78,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,49,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-06-22,,,,,,3.89,0.34,7.51,308.42,35.9,1.42,0.02,0.74,0.9,4.4,0.05,0.35,0.93,0,1.64,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,50,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-06-22,,,,,,5,0.38,7.53,310.16,39.2,2.05,0.03,0.63,1.05,4.32,0.11,0.74,0.74,0,2.24,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,53,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-06-22,,,,,,5.24,0.4,7.24,157.51,24.9,1.25,0.02,0.47,0.65,2.8,0.1,0.21,1.07,0,1.72,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,54,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-07-13,,,,,,3.02,0.3,7.56,320.09,35.8,1.42,0.02,0.72,0.87,4.37,0.05,0.35,0.81,0,1.61,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,55,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-07-13,,,,,,3.91,0.33,7.68,293.24,51.2,2.48,0.02,0.69,1.4,5.73,0.13,0.96,0.77,0,3.07,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,56,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-07-13,,,,,,3.3,0.27,7.58,317.29,39.1,1.66,0.02,0.62,1.01,4.44,0.09,0.38,0.62,0,2.43,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,59,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-07-13,,,,,,3.81,0.31,7.58,343.44,41.9,1.99,0.02,0.64,1.12,4.73,0.11,0.49,0.65,0,2.66,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,61,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-07-13,,,,,,3.75,0.33,7.4,222.6,32.2,1.34,0.02,0.49,0.8,3.78,0.14,0.2,0.92,0,3.04,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,62,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-08-17,,,,,,2.5,0.23,7.46,371.43,44.3,1.76,0.01,0.7,1.19,5.48,0.13,0.4,0.45,0,3.48,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,65,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-08-17,,,,,,3.11,0.26,6.7,193.11,40.6,1.4,0.02,0.61,1,5.26,0.19,0.27,0.7,0,5.02,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,66,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-08-17,,,,,,3.5,0.3,6.97,294.18,61.9,2.57,0.03,0.8,1.57,6.79,0.13,0.94,0.19,0,3.69,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,69,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-08-17,,,,,,2.59,0.31,6.88,332.05,38.1,1.53,0.02,0.78,0.99,5.11,0.06,0.29,0.56,0,1.91,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,71,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-08-17,,,,,,3.01,0.27,6.9,216.89,48.3,2.04,0.03,0.74,1.25,5.5,0.07,0.5,0.19,0,3.43,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,72,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-09-14,,,,,,4.68,0.26,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,73,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-09-14,,,,,,2.01,0.22,7.81,613.37,66.4,3,0.03,1.05,1.94,7.6,0.13,1.33,0.48,0,3.58,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,75,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-09-14,,,,,,2.21,0.2,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,78,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-09-14,,,,,,2.09,0.2,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,80,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-10-12,,,,,,2.17,0.12,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,81,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-10-12,,,,,,2.64,0.13,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,82,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-10-12,,,,,,2.1,0.09,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,84,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-10-12,,,,,,1.91,0.13,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,85,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-10-12,,,,,,1.83,0.11,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,86,,,2015,,,"RHOADES"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2015-11-09,,,,,,2.69,0.15,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,90,,,2015,,,"RHOADES"
"PNF","Poudre Above North Fork",2015-11-09,,,,,,1.87,0.2,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,91,,,2015,,,"RHOADES"
"PBR","Poudre Below Rustic",2015-11-09,,,,,,1.67,0.13,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,93,,,2015,,,"RHOADES"
"PJW","Poudre Above Joe Wright",2015-11-09,,,,,,1.9,0.24,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,95,,,2015,,,"RHOADES"
"SFM","Poudre South Fork",2015-11-09,,,,,,1.75,0.14,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,96,,,2015,,,"RHOADES"
"HORO","Hourglass Outflow",2020-08-21,,26.4,,,,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89,,,,40.5828742,-105.6309523,"South Fork","Outflow","Hourglass Reservoir","Burned",,"Greeley",,61.499,0.10162730589431843,0.40096867936712954,100,,,2020,,,"RHOADES"
"LNGR","Long Draw Reservoir",2020-10-20,,,,,,2.39,0.34,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98,,,,40.50087627,-105.7725307,"Longdraw","Reservoir","Long Draw Reservoir","Unburned",,,,100.445,0,0,161,,,2020,,,"RHOADES"
"PTRR","Peterson Reservoir",2020-10-20,,,,,,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34,,,,40.55936515,-105.7940034,"Longdraw","Reservoir","Peterson Reservoir","Burned",,,,91.236,0.3055062638172439,0.32090379008746356,162,,,2020,,,"RHOADES"
"BMD","Barnes Meadow Outflow",2020-10-20,,,,,,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,164,,,2020,,,"RHOADES"
"PNF","Poudre Above North Fork",2020-11-16,,,,,,1.8,0.22,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,220,,,2020,,,"RHOADES"
"PSF","Poudre Below S. Fork",2021-04-07,,,,,,4.99,0.31,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,225,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-04-07,,,,,,1.86,0.19,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,227,,,2021,,,"ROSS"
"PNF","Poudre Above North Fork",2021-04-07,,,,,,4.44,0.74,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,229,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-04-07,1.9,9.52,,,,5.48,0.63,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,232,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-04-07,,,,,,2.64,0.23,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,237,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-04-07,,,,,,6.44,0.52,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,238,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-04-07,6,,,,,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,240,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-04-12,,2.88,,,,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,241,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-04-12,,,,,,2.93,0.18,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,242,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-04-12,1.5,0.98,,,,6.08,0.62,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,243,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-04-12,,,,,,4.53,0.27,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,245,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-04-12,,,,,,5.19,0.48,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,246,,,2021,,,"ROSS"
"PSF","Poudre Below S. Fork",2021-04-12,,,,,,4.88,0.33,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,247,,,2021,,,"ROSS"
"PNF","Poudre Above North Fork",2021-04-12,,,,,,4.87,0.25,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39,,,,40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV",,,7.471,,,248,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-04-13,1.8,0,,,,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95,,,,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,250,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-04-19,,,,,,3.63,0.36,7.28,381.79,48.37,2.87,0.01,0.79,1.28,4.79,0.08,0.78,0.57,0,3.75,,,,40.61825,-105.525583,"South Fork","Mainstem","CLP Mainstem - Upper","Partially Burned","ROSS","Larimer County","11531",53.476,,,260,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-04-19,2,0,,,,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93,,,,40.57795281,-105.8572773,"Chambers Complex","Inflow","Chambers Reservoir","Burned","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,261,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-04-19,12,3.75,,,,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01,,,,40.600376,-105.836378,"Chambers Complex","Outflow","Barnes Meadow Reservoir","Burned",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,262,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-04-19,2.4,1.92,,,,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54,,,,40.60233229,-105.8427286,"Chambers Complex","Outflow","Chambers Reservoir","Burned","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,263,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-04-19,,,,,,4.12,0.3,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5,,,,40.61988,-105.81937,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,264,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-04-19,1.4,0,,,,4.29,0.44,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29,,,,40.634114,-105.807264,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,80.916,,,265,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-04-19,,,,,,3.69,0.23,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95,,,,40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned","FCGOV","Fort Collins",,47.262,,,267,,,2021,,,"ROSS"
"PSF","Poudre Below S. Fork",2021-04-19,,,,,,3.87,0.2,7.5,480.83,58.53,2.74,0.11,0.98,1.8,6.02,0.1,1.38,0.14,0,3.33,,,,40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem - Upper","Partially Burned",,,,33.951,,,268,,,2021,,,"ROSS"
